\ The attitudes of the telescope.
|field|                ra|                dec|                pa|
| long|            double|             double|            double|
|     |               deg|                deg|               deg|
| null|              null|               null|              null|
     0  266.9963179536048 -28.115275347778816  301.4088658348445 
     1 266.99594409403403 -28.112349183902406  300.7932443200222 
     2  266.9969571161997 -28.114306823659458  299.0806655985504 
     3  266.9971310160543 -28.117983669617598  300.7671936728159 
     4 266.99318443301803  -28.11421688712713 301.44749483643324 
     5 266.99413298280484 -28.115107322763702  298.9089850703106 
     6 266.99458197122834 -28.114608684006257  299.6413227331909 
     7 266.99590391560884 -28.113839253569104   300.703998493479 
     8 266.99288335120656 -28.113059830271077 301.30257581464207 
     9 266.99625068013034  -28.11547676683814 300.26927824661647 
    10  266.9972592441106  -28.11506938575382  301.1902138311075 
    11  266.9943949565849  -28.11566629306613 301.45365892546687 
    12  266.9969613402376 -28.114574609020963 300.84891313575093 
    13  266.9952317880656 -28.116924856675567 301.49690273282107 
    14  266.9972886368274 -28.115204030425673   301.988239629429 
    15 266.99597532997234  -28.11353352840309 302.99604865536116 
    16  267.0745240880924 -28.003087505285155 299.30362685357966 
    17 267.07380912035904 -27.999025904771973 301.02709908856536 
    18 267.07521931868723 -28.001748632234364  303.5277731555863 
    19  267.0734332761021 -28.001042478561335  301.8086262677568 
    20  267.0735647320888  -28.00054194095284 300.29232361967235 
    21  267.0713232099948 -27.999364301259174   302.429270446808 
    22  267.0754582374762 -27.999746124127316  300.0923047823108 
    23 267.07329848153864 -28.001384288166378 302.17711433929446 
    24  267.0700406147094 -28.002190960712788 300.92644386306927 
    25 267.07449252621944  -28.00250811663021  299.4275054101405 
    26  267.0740454428834 -28.000242911141285  299.7926116363079 
    27  267.0728762998638 -28.003055862364576  302.7521420597929 
    28   267.075289914304 -28.002661221385402 300.83624471338345 
    29   267.076887484315 -28.003532786942433 301.02694281451886 
    30 267.07235024820176 -28.001050096128814  302.9323240587049 
    31  267.0747528412451 -28.000127406122004  299.9757146519457 
    32 266.86811269978557  -28.04337113391145 301.19336310150305 
    33 266.86580948549687 -28.046357753695663 301.03616358471106 
    34  266.8663647132077  -28.04754641142436  301.1475112002538 
    35 266.86661282998296 -28.047629838374366  301.2865779482397 
    36  266.8638631915084 -28.045692999544027  298.5304699525982 
    37  266.8653074801029  -28.04427851128748  299.1073666337299 
    38  266.8663167231945 -28.047145817426244  299.7727746960258 
    39  266.8669573544179  -28.04819435065837  302.9322568158876 
    40 266.86514622855896  -28.04444535860676  301.9025051873584 
    41  266.8658821256259 -28.048190290040417 301.66986749752397 
    42 266.86414013256615  -28.04741100471627 300.94098689876927 
    43  266.8648332409689  -28.04640566638831  301.6252473144442 
    44 266.86424086816476  -28.04606678524688  300.1001991602023 
    45 266.86579914546826 -28.045313155170085  300.8709806140248 
    46 266.86804601079257   -28.0469836288303 302.10349844579383 
    47  266.8666489612847 -28.047067111235116  302.2291389586543 
    48  266.9455514516313  -27.93422625726033  299.5862045615042 
    49  266.9464445203312 -27.932576644814997 302.89720594516734 
    50   266.940253829661 -27.933633469655604 301.35633676266303 
    51  266.9448835888113  -27.93288367338812  301.5422810225407 
    52  266.9427140128387  -27.93162950726098  301.2583886790385 
    53  266.9448404740832 -27.932459809408368 301.08621879131766 
    54  266.9467802829139  -27.93323980845999 299.79406987930037 
    55  266.9446034443917 -27.931371028057978 300.95929044633505 
    56 266.94377637999037 -27.932105705969786   300.603903555973 
    57  266.9433327599742 -27.933161791071015  300.1655005083899 
    58 266.94685174449717 -27.933114951496023 302.17137718698064 
    59  266.9442688039841  -27.93163159919906  302.1261222790494 
    60  266.9442183253882  -27.92966888813069  299.3025773346109 
    61 266.94402938682526 -27.934347152993073  301.1696394043503 
    62  266.9456263763177 -27.932283243750827 301.32956201578753 
    63 266.94443767979527  -27.93371448264188  299.7366945302662 
