\ This script generates Case-5 astrometry challenges. The telescope used in this
\ challenge is affected by distortion. Astronomical sources are retrived from
\ the Gaia EDR3 catalog, while observations fields are not in the Galactic
\ center region. In total, 10 fields are obtained for each distortion pattern. A
\ list of source positions on the focal plane and original ICRS coordinates is
\ provided. Solve the position angle and distortion parameters.
\distortion_K=(41.12724560515945,)
\distortion_S=(-3.6625309499130667, 0.6265907850142662)
\distortion_T=(-97.98350619398877,)
\distortion_scale=1.007674347291529
|                  x|                   y|                ra|                dec|field|
|             double|              double|            double|             double| long|
|                 um|                  um|               deg|                deg|     |
|               null|                null|              null|               null| null|
  11134.332287666743  -20059.106324329183  270.0298438636798 -24.646600633592247     0 
  11419.921600022202   -19779.04693671539  270.0268540750187  -24.64804827197474     0 
    9327.36209162526  -20476.406867816513   270.038037993299 -24.634047699560398     0 
  10858.706856066261   -19123.76516731471  270.0232160152855  -24.64215947151744     0 
   9275.605329786375  -18985.270128719367   270.026434329313 -24.629865788158153     0 
  10229.944515007455  -18414.262775482835  270.0193188212968 -24.635611495605215     0 
    9232.94220034074  -18900.241811674623 270.02587820112757 -24.629327262227143     0 
  10440.969180196078  -18093.814858807535  270.0162005114275  -24.63638964202237     0 
   9671.696672223547  -18240.245432421336  270.0194623298878 -24.630952983240135     0 
   9382.564174700434   -18399.57320250151  270.0215113244187 -24.629177643798318     0 
   8612.654685795193  -19511.410822623842  270.0323777128694  -24.62621402316158     0 
   8515.084652178497   -20092.15138829096 270.03720966130066 -24.626960984592305     0 
   8101.592918094787   -19261.49710010133 270.03178467990017 -24.621728805232696     0 
   8685.848271477014  -16524.962444200766 270.00851250198605 -24.619109014381127     0 
  10323.628081620796   -17254.45555953395  270.0098503121835 -24.633361871462736     0 
   7157.955020267282  -17893.922030003512  270.0235167803105 -24.611113350460503     0 
   7268.813065368736  -17509.187572674535  270.0201705991753  -24.61095572249599     0 
    8453.68408248108  -18305.771632640655  270.0232864763472  -24.62193219971939     0 
  7026.1744403911325   -18686.91053018843   270.030137801903 -24.612164988675396     0 
   7265.115647971791  -17326.109367416604  270.0187283650074 -24.610455476889445     0 
   7099.080510377883   -19348.91437536263  270.0351601581294  -24.61441513295505     0 
   5931.609918025159  -20233.045235361806 270.04520257873975  -24.60793126272281     0 
   6381.204981561212   -19561.47970750837  270.0387437940847  -24.60957271390664     0 
    5751.98634157117  -20340.058383741485  270.0465143855664 -24.606861895448937     0 
    6073.38424125728  -18866.661992046404 270.03409511340635   -24.6054726494654     0 
    4968.91794028418  -18236.639174633106 270.03205565271907 -24.595563028975633     0 
   4143.625772254041  -19172.268501521085  270.0415873042097  -24.59181838800284     0 
   4212.616166526589  -19801.380239632796 270.04633840347503  -24.59396463640927     0 
  1983.8297906642704  -19948.307795500918  270.0532591279733 -24.577761850469166     0 
   7973.618234051832   16906.503236171335  269.7404338951329 -24.529077814875848     0 
   7425.875192663031    17654.34343893503  269.7361746477301 -24.523253123141693     0 
   6777.996071768033   15393.241607272472 269.75578228935535  -24.52380210837599     0 
   7486.196036705491   16080.005609169657 269.74832716327614 -24.527423325589513     0 
   8150.510179586709   18958.227399263724 269.72393187587437 -24.525548128493377     0 
   8395.946445682825    19426.98051506873 269.71959030451353 -24.526263197975776     0 
   7013.102746910698    19577.30829235747 269.72243076080247 -24.515712871009672     0 
   5155.892995293518   17810.936601979418  269.7415472322908 -24.506153744170916     0 
    5840.72236872518   19102.474213035704   269.729513489444  -24.50819314784611     0 
   5300.748814960438   14851.831323600823 269.76433789580545  -24.51415200669184     0 
   4712.998175125597   14821.185099331098  269.7662870538596  -24.50988665251854     0 
   5535.203102370894   15655.791856046157 269.75732267340817 -24.513985553475244     0 
   4505.591819352354   15211.718967806257  269.7638110657659 -24.507439262923192     0 
