\ This script generates Case-5 astrometry challenges. The telescope used in this
\ challenge is affected by distortion. Astronomical sources are retrived from
\ the Gaia EDR3 catalog, while observations fields are not in the Galactic
\ center region. In total, 10 fields are obtained for each distortion pattern. A
\ list of source positions on the focal plane and original ICRS coordinates is
\ provided. Solve the position angle and distortion parameters.
\distortion_K=(76.15149282040127,)
\distortion_S=(-0.7024601241700079, -0.7024108708475416)
\distortion_T=(78.96064077536957,)
\distortion_scale=1.0064768853810069
|                  x|                  y|                ra|               dec|field|
|             double|             double|            double|            double| long|
|                 um|                 um|               deg|               deg|     |
|               null|               null|              null|              null| null|
  15294.574166674214  12400.585435845807  201.9600416548543 23.738434292179853     0 
  14862.277607653621    6917.19215969404 201.99470962367573 23.765588722027662     0 
   9566.583698405157    8503.56844424345 201.95728609641057  23.79036801991161     0 
   9429.586644542282   6961.328341798681 201.96703511860437 23.798292456787784     0 
    9202.71887860017  18265.670867565223 201.89049554807843 23.748995755735116     0 
   5867.850028324749    8716.71106573354   201.936976383796 23.812134539563605     0 
   5695.622813058291  11817.594336633365 201.91522631430004 23.798982484891447     0 
  -2094.460853402784   20422.82394802764  201.8199196116439 23.808179691363183     0 
  -6521.228494354127  19990.742499584525 201.80108308838325 23.837173812883464     0 
  -6563.011240709737   19813.41690477141 201.80199055020498 23.838226368061786     0 
  -9979.634510976595   18510.99251472673  201.7938558394997 23.864925026992417     0 
  -9234.683169314048  12610.106299299383 201.83513182724639 23.887556983070827     0 
 -10521.102996452093   15543.10660674578 201.81004486190415 23.881816321381706     0 
 -12598.747246393406  11766.064156655873 201.82448519240342 23.911885948696433     0 
 -12981.567808585349  12987.841747377372 201.81477765039477 23.908510188818717     0 
  -19726.88562344351  15416.346374822242 201.76865982510265  23.93709072833834     0 
 -17663.597297533568   12509.15863299229  201.7961721700059  23.93852142143096     0 
   19756.44321565857  3335.6185651107157 202.04277715437956 23.753000520517457     0 
   16632.25116937132   527.8841617405103  202.0464634572225 23.784364590297383     0 
   16791.60294922724  -7303.112082911358 202.09905542287927 23.819786029535443     0 
  15073.065806401077  -7379.248117824611 202.09137491606822 23.830524606423328     0 
  12222.511068565293  -466.7880057228048 202.03145921920424 23.815675920550046     0 
   12823.29531438403 -2534.6330022146076 202.04833893763413 23.821653760086782     0 
   10039.36676991622  -2468.849864625965 202.03407212839934 23.838449858317322     0 
  17713.552577573446 -15466.557380848059  202.1551217196135 23.851806407522947     0 
  15945.225309641472 -17692.846483504138 202.16069576929624  23.87248002775226     0 
  15529.400149755289 -18719.552906756508 202.16502115030138 23.879576335022872     0 
  11654.728970912736  -10115.87364642723 202.09273721496103  23.86407089256153     0 
     8757.4252627609 -13332.374576184064 202.09939328600205 23.896601388652147     0 
   7432.731648785936 -13404.087429890493   202.093357539348  23.90508234525858     0 
    8203.68363846053 -19130.431491812895 202.13314511637876 23.925830073598135     0 
   5947.186860860147  -19073.61797814259  202.1218678084437 23.939333366523133     0 
  1825.6636068902394   5484.983693968626 201.93822472038792 23.852287055496607     0 
  1068.1192787717096  1673.8914429456079 201.96032605856496 23.874875964436402     0 
  1333.6313658054644 -2759.3387421862653  201.9918988816808 23.893964799576587     0 
  -2249.064336678378  1886.4975269888657 201.94191033658922  23.89456336826565     0 
 -2725.7707463593442 -1723.5115643978615   201.964080536016 23.914388708255366     0 
  -2770.482254732128  -5888.182733321435 201.99211368983592 23.933916720518916     0 
  -6661.502046439813  -5006.507192749853  201.9663057732152  23.95372784955596     0 
  2656.9220593087707   -8744.35268947971 202.03895113791125 23.913418761639534     0 
  -974.4481208306431  -9852.609776253203  202.0278689918214 23.940901825232164     0 
  -5806.848378036787  -9153.381976091829 201.99856597854765 23.967282067628382     0 
  -7860.016471855311  -9553.136290868797 201.99079129662945  23.98143389435047     0 
